id,title,price,category,rating,created_at,updated_at
1,A Light in the Attic,51.77,Books,3,2025-07-07 16:26:00.399468+00,2025-07-07 16:26:00.399468+00
2,Tipping the Velvet,53.74,Books,1,2025-07-07 16:26:00.942606+00,2025-07-07 16:26:00.942606+00
3,Soumission,50.10,Books,1,2025-07-07 16:26:01.361442+00,2025-07-07 16:26:01.361442+00
4,Sharp Objects,47.82,Books,4,2025-07-07 16:26:01.793788+00,2025-07-07 16:26:01.793788+00
5,Sapiens: A Brief History of Humankind,54.23,Books,5,2025-07-07 16:26:02.09607+00,2025-07-07 16:26:02.09607+00
6,The Requiem Red,22.65,Books,1,2025-07-07 16:26:02.527735+00,2025-07-07 16:26:02.527735+00
7,The Dirty Little Secrets of Getting Your Dream Job,33.34,Books,4,2025-07-07 16:26:02.825907+00,2025-07-07 16:26:02.825907+00
8,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Books,3,2025-07-07 16:26:03.157207+00,2025-07-07 16:26:03.157207+00
9,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.60,Books,4,2025-07-07 16:26:03.562909+00,2025-07-07 16:26:03.562909+00
10,The Black Maria,52.15,Books,1,2025-07-07 16:26:03.863612+00,2025-07-07 16:26:03.863612+00
11,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Books,2,2025-07-07 16:26:04.171405+00,2025-07-07 16:26:04.171405+00
12,Shakespeare's Sonnets,20.66,Books,4,2025-07-07 16:26:04.512943+00,2025-07-07 16:26:04.512943+00
13,Set Me Free,17.46,Books,5,2025-07-07 16:26:04.821857+00,2025-07-07 16:26:04.821857+00
14,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Books,5,2025-07-07 16:26:05.108549+00,2025-07-07 16:26:05.108549+00
15,Rip it Up and Start Again,35.02,Books,5,2025-07-07 16:26:05.414905+00,2025-07-07 16:26:05.414905+00
16,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Books,3,2025-07-07 16:26:05.710314+00,2025-07-07 16:26:05.710314+00
17,Olio,23.88,Books,1,2025-07-07 16:26:05.999409+00,2025-07-07 16:26:05.999409+00
18,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,Books,1,2025-07-07 16:26:06.31349+00,2025-07-07 16:26:06.31349+00
19,Libertarianism for Beginners,51.33,Books,2,2025-07-07 16:26:06.610611+00,2025-07-07 16:26:06.610611+00
20,It's Only the Himalayas,45.17,Books,2,2025-07-07 16:26:06.925327+00,2025-07-07 16:26:06.925327+00
21,In Her Wake,12.84,Books,1,2025-07-07 16:26:07.228758+00,2025-07-07 16:26:07.228758+00
22,How Music Works,37.32,Books,2,2025-07-07 16:26:07.522932+00,2025-07-07 16:26:07.522932+00
23,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,Books,3,2025-07-07 16:26:07.804629+00,2025-07-07 16:26:07.804629+00
24,Chase Me (Paris Nights #2),25.27,Books,5,2025-07-07 16:26:08.102791+00,2025-07-07 16:26:08.102791+00
25,Black Dust,34.53,Books,5,2025-07-07 16:26:08.408994+00,2025-07-07 16:26:08.408994+00
26,Birdsong: A Story in Pictures,54.64,Books,3,2025-07-07 16:26:08.69974+00,2025-07-07 16:26:08.69974+00
